P: 4
       y (u)    z (F)
x (z)                
0.230  0.000 2415.521
0.240  0.000 2518.223
0.250  0.000 2620.374
0.260  0.000 2721.897
0.270  0.000 2822.713
0.280  0.000 2922.734
0.290  0.000 3021.868
0.300  0.000 3120.015
0.310  0.000 3217.070
0.320  0.000 3312.921
0.330  0.000 3407.452
0.340  0.000 3500.539
0.350  0.000 3592.054
0.360  0.000 3681.861
0.370  0.000 3769.822
0.380  0.000 3855.792
0.390  0.000 3939.622
0.400  0.000 4021.160
0.410  0.000 4100.247
0.420  0.000 4176.726
0.430  0.000 4250.435
0.440  0.000 4321.211
0.450  0.000 4388.890
0.460  0.000 4453.309
0.470  0.000 4514.307
0.480  0.000 4571.723
0.490  0.000 4625.402
0.500  0.000 4675.193
0.510  0.000 4720.951
0.520  0.000 4762.538
0.530  0.000 4799.827
0.540  0.000 4832.697
0.550  0.000 4861.044
0.560  0.000 4884.775
0.570  0.000 4903.811
0.580  0.000 4918.091
0.590  0.000 4927.572
0.600  0.000 4932.231
0.610  0.000 4932.064
0.620  0.000 4927.092
0.630  0.000 4917.357
0.640  0.000 4902.928
0.650  0.000 4883.898
0.660  0.000 4860.386
0.670  0.000 4832.537
0.680  0.000 4800.525
0.690  0.000 4764.547
0.700  0.000 4724.828
0.710  0.000 4681.618
0.720  0.000 4635.188
0.730  0.000 4585.832
0.740  0.000 4533.864
0.750  0.000 4479.611
0.760  0.000 4423.417
0.770  0.000 4365.632
0.780  0.000 4306.612
0.790  0.000 4246.714
0.800  0.000 4186.290
0.810  0.000 4125.682
0.820  0.000 4065.218
0.830  0.000 4005.206
0.840  0.000 3945.931
0.850  0.000 3887.647
0.860  0.000 3830.577
0.870  0.000 3774.910
0.880  0.000 3720.796
0.890  0.000 3668.350
0.900  0.000 3617.651
0.910  0.000 3568.741
0.920  0.000 3521.634
0.930  0.000 3476.319
0.940  0.000 3432.760
0.950  0.000 3390.906
0.960  0.000 3350.695
0.970  0.000 3312.054
0.980  0.000 3274.903
0.990  0.000 3239.158
1.000  0.000 3204.729




P: 4
       y (u)    z (F)
x (z)                
0.000  0.000    0.000
0.010  0.000  113.420
0.020  0.000  226.842
0.030  0.000  340.269
0.040  0.000  453.701
0.050  0.000  567.140
0.060  0.000  680.586
0.070  0.000  794.037
0.080  0.000  907.489
0.090  0.000 1020.938
0.100  0.000 1134.376
0.110  0.000 1247.793
0.120  0.000 1361.177
0.130  0.000 1474.511
0.140  0.000 1587.779
0.150  0.000 1700.956
0.160  0.000 1814.018
0.170  0.000 1926.933
0.180  0.000 2039.669
0.190  0.000 2152.185
0.200  0.000 2264.438
0.210  0.000 2376.381
0.220  0.000 2487.958
0.230  0.000 2599.111
0.240  0.000 2709.775
0.250  0.000 2819.879
0.260  0.000 2929.347
0.270  0.000 3038.098
0.280  0.000 3146.041
0.290  0.000 3253.083
0.300  0.000 3359.122
0.310  0.000 3464.051
0.320  0.000 3567.757
0.330  0.000 3670.119
0.340  0.000 3771.013
0.350  0.000 3870.306
0.360  0.000 3967.862
0.370  0.000 4063.538
0.380  0.000 4157.185
0.390  0.000 4248.653
0.400  0.000 4337.783
0.410  0.000 4424.417
0.420  0.000 4508.390
0.430  0.000 4589.537
0.440  0.000 4667.691
0.450  0.000 4742.683
0.460  0.000 4814.347
0.470  0.000 4882.514
0.480  0.000 4947.021
0.490  0.000 5007.705
0.500  0.000 5064.412
0.510  0.000 5116.990
0.520  0.000 5165.295
0.530  0.000 5209.193
0.540  0.000 5248.560
0.550  0.000 5283.283
