P: 4
       y (u)    z (F)
x (z)                
P: 11
       y (u)    z (F)
x (z)                
0.000  0.000    0.000
0.010  0.000   99.902
0.020  0.000  199.805
0.030  0.000  299.713
0.040  0.000  399.627
0.050  0.000  499.550
0.060  0.000  599.484
0.070  0.000  699.431
0.080  0.000  799.393
0.090  0.000  899.372
0.100  0.000  999.371
0.110  0.000 1099.392
0.120  0.000 1199.437
0.130  0.000 1299.507
0.140  0.000 1399.607
0.150  0.000 1499.736
0.160  0.000 1599.898
0.170  0.000 1700.096
0.180  0.000 1800.330
0.190  0.000 1900.603
0.200  0.000 2000.918
0.210  0.000 2101.276
0.220  0.000 2201.680
0.230  0.000 2302.132
0.240  0.000 2402.634
0.250  0.000 2503.189
0.260  0.000 2603.797
0.270  0.000 2704.463
0.280  0.000 2805.187
0.290  0.000 2905.971
0.300  0.000 3006.819
0.310  0.000 3107.731
0.320  0.000 3208.709
0.330  0.000 3309.756
0.340  0.000 3410.873
0.350  0.000 3512.062
0.360  0.000 3613.324
0.370  0.000 3714.659
0.380  0.000 3816.069
0.390  0.000 3917.553
0.400  0.000 4019.112
0.410  0.000 4120.744
0.420  0.000 4222.448
0.430  0.000 4324.221
0.440  0.000 4426.059
0.450  0.000 4527.957
0.460  0.000 4629.908
0.470  0.000 4731.903
0.480  0.000 4833.930
0.490  0.000 4935.975
0.500  0.000 5038.020
0.510  0.000 5140.044
0.520  0.000 5242.020
0.530  0.000 5343.916
0.540  0.000 5445.694
0.550  0.000 5547.308
0.560  0.000 5648.703
0.570  0.000 5749.815
0.580  0.000 5850.569
0.590  0.000 5950.876
0.600  0.000 6050.632
0.610  0.000 6149.716
0.620  0.000 6247.990
0.630  0.000 6345.294
0.640  0.000 6441.441
0.650  0.000 6536.222
0.660  0.000 6629.396
0.670  0.000 6720.691
0.680  0.000 6809.800
0.690  0.000 6896.378
0.700  0.000 6980.039
0.710  0.000 7060.358
0.720  0.000 7136.863
0.730  0.000 7209.041
0.740  0.000 7276.334
0.750  0.000 7338.142
0.760  0.000 7393.831
0.770  0.000 7442.737
0.780  0.000 7484.174
0.790  0.000 7517.454
0.800  0.000 7541.900
0.810  0.000 7556.870
0.820  0.000 7561.791
0.830  0.000 7556.184
0.840  0.000 7539.711
0.850  0.000 7512.214
0.860  0.000 7473.764
0.870  0.000 7424.701
0.880  0.000 7365.675
0.890  0.000 7297.674
0.900  0.000 7222.021
0.910  0.000 7140.356
0.920  0.000 7054.563
0.930  0.000 6966.656
0.940  0.000 6878.618
0.950  0.000 6792.212
0.960  0.000 6708.794
0.970  0.000 6629.195
0.980  0.000 6553.720
0.990  0.000 6482.259
1.000  0.000 6414.438




P: 12
       y (u)    z (F)
x (z)                
0.000  0.000    0.000
0.010  0.000   99.079
0.020  0.000  198.158
0.030  0.000  297.242
0.040  0.000  396.333
0.050  0.000  495.432
0.060  0.000  594.542
0.070  0.000  693.664
0.080  0.000  792.802
0.090  0.000  891.958
0.100  0.000  991.132
0.110  0.000 1090.328
0.120  0.000 1189.548
0.130  0.000 1288.794
0.140  0.000 1388.068
0.150  0.000 1487.372
0.160  0.000 1586.709
0.170  0.000 1686.080
0.180  0.000 1785.488
0.190  0.000 1884.935
0.200  0.000 1984.422
0.210  0.000 2083.953
0.220  0.000 2183.530
0.230  0.000 2283.154
0.240  0.000 2382.827
0.250  0.000 2482.553
0.260  0.000 2582.333
0.270  0.000 2682.168
0.280  0.000 2782.063
0.290  0.000 2882.017
0.300  0.000 2982.034
0.310  0.000 3082.116
0.320  0.000 3182.265
0.330  0.000 3282.482
0.340  0.000 3382.771
0.350  0.000 3483.132
0.360  0.000 3583.567
0.370  0.000 3684.079
0.380  0.000 3784.668
0.390  0.000 3885.336
0.400  0.000 3986.084
0.410  0.000 4086.913
0.420  0.000 4187.823
0.430  0.000 4288.813
0.440  0.000 4389.883
0.450  0.000 4491.031
0.460  0.000 4592.255
0.470  0.000 4693.550
0.480  0.000 4794.910
0.490  0.000 4896.329
0.500  0.000 4997.797
0.510  0.000 5099.303
0.520  0.000 5200.829
0.530  0.000 5302.359
0.540  0.000 5403.867
0.550  0.000 5505.325
0.560  0.000 5606.699
0.570  0.000 5707.944
0.580  0.000 5809.011
0.590  0.000 5909.838
0.600  0.000 6010.351
0.610  0.000 6110.464
0.620  0.000 6210.074
0.630  0.000 6309.061
0.640  0.000 6407.283
0.650  0.000 6504.576
0.660  0.000 6600.748
0.670  0.000 6695.577
0.680  0.000 6788.809
0.690  0.000 6880.151
0.700  0.000 6969.270
0.710  0.000 7055.787
0.720  0.000 7139.277
0.730  0.000 7219.261
0.740  0.000 7295.208
0.750  0.000 7366.533
0.760  0.000 7432.595
0.770  0.000 7492.704
0.780  0.000 7546.122
0.790  0.000 7592.076
0.800  0.000 7629.770
0.810  0.000 7658.406
0.820  0.000 7677.210
0.830  0.000 7685.465
0.840  0.000 7682.553
0.850  0.000 7668.007
0.860  0.000 7641.567
0.870  0.000 7603.239
0.880  0.000 7553.362
0.890  0.000 7492.659
0.900  0.000 7422.279
0.910  0.000 7343.801
0.920  0.000 7259.195
0.930  0.000 7170.723
0.940  0.000 7080.760
0.950  0.000 6991.559
0.960  0.000 6904.980
0.970  0.000 6822.270
0.980  0.000 6743.987
0.990  0.000 6670.106
1.000  0.000 6600.221




P: 13
       y (u)    z (F)
x (z)                
0.000  0.000    0.000
0.010  0.000   98.363
0.020  0.000  196.726
0.030  0.000  295.094
0.040  0.000  393.469
0.050  0.000  491.852
0.060  0.000  590.245
0.070  0.000  688.652
0.080  0.000  787.073
0.090  0.000  885.512
0.100  0.000  983.970
0.110  0.000 1082.449
0.120  0.000 1180.952
0.130  0.000 1279.481
0.140  0.000 1378.038
0.150  0.000 1476.624
0.160  0.000 1575.243
0.170  0.000 1673.896
0.180  0.000 1772.586
0.190  0.000 1871.314
0.200  0.000 1970.082
0.210  0.000 2068.894
0.220  0.000 2167.751
0.230  0.000 2266.655
0.240  0.000 2365.609
0.250  0.000 2464.614
0.260  0.000 2563.672
0.270  0.000 2662.787
0.280  0.000 2761.959
0.290  0.000 2861.192
0.300  0.000 2960.486
0.310  0.000 3059.846
0.320  0.000 3159.272
0.330  0.000 3258.766
0.340  0.000 3358.331
0.350  0.000 3457.969
0.360  0.000 3557.682
0.370  0.000 3657.471
0.380  0.000 3757.340
0.390  0.000 3857.288
0.400  0.000 3957.319
0.410  0.000 4057.433
0.420  0.000 4157.632
0.430  0.000 4257.917
0.440  0.000 4358.288
0.450  0.000 4458.745
0.460  0.000 4559.289
0.470  0.000 4659.918
0.480  0.000 4760.630
0.490  0.000 4861.421
0.500  0.000 4962.288
0.510  0.000 5063.223
0.520  0.000 5164.220
0.530  0.000 5265.266
0.540  0.000 5366.348
0.550  0.000 5467.448
0.560  0.000 5568.545
0.570  0.000 5669.611
0.580  0.000 5770.612
0.590  0.000 5871.507
0.600  0.000 5972.245
0.610  0.000 6072.766
0.620  0.000 6172.995
0.630  0.000 6272.844
0.640  0.000 6372.209
0.650  0.000 6470.962
0.660  0.000 6568.957
0.670  0.000 6666.017
0.680  0.000 6761.936
0.690  0.000 6856.476
0.700  0.000 6949.355
0.710  0.000 7040.251
0.720  0.000 7128.790
0.730  0.000 7214.548
0.740  0.000 7297.038
0.750  0.000 7375.714
0.760  0.000 7449.963
0.770  0.000 7519.106
0.780  0.000 7582.396
0.790  0.000 7639.026
0.800  0.000 7688.135
0.810  0.000 7728.822
0.820  0.000 7760.170
0.830  0.000 7781.271
0.840  0.000 7791.272
0.850  0.000 7789.423
0.860  0.000 7775.141
0.870  0.000 7748.085
0.880  0.000 7708.236
0.890  0.000 7655.984
0.900  0.000 7592.200
0.910  0.000 7518.286
0.920  0.000 7436.180
0.930  0.000 7348.284
0.940  0.000 7257.296
0.950  0.000 7165.947
0.960  0.000 7076.642
0.970  0.000 6991.124
0.980  0.000 6910.282
0.990  0.000 6834.220
1.000  0.000 6762.512




P: 14
       y (u)    z (F)
x (z)                
0.000  0.000    0.000
0.010  0.000   97.735
0.020  0.000  195.470
0.030  0.000  293.210
0.040  0.000  390.957
0.050  0.000  488.711
0.060  0.000  586.477
0.070  0.000  684.255
0.080  0.000  782.048
0.090  0.000  879.859
0.100  0.000  977.688
0.110  0.000 1075.539
0.120  0.000 1173.413
0.130  0.000 1271.312
0.140  0.000 1369.240
0.150  0.000 1467.197
0.160  0.000 1565.186
0.170  0.000 1663.209
0.180  0.000 1761.269
0.190  0.000 1859.366
0.200  0.000 1957.505
0.210  0.000 2055.686
0.220  0.000 2153.911
0.230  0.000 2252.184
0.240  0.000 2350.506
0.250  0.000 2448.879
0.260  0.000 2547.305
0.270  0.000 2645.786
0.280  0.000 2744.326
0.290  0.000 2842.925
0.300  0.000 2941.586
0.310  0.000 3040.311
0.320  0.000 3139.102
0.330  0.000 3237.962
0.340  0.000 3336.892
0.350  0.000 3435.895
0.360  0.000 3534.972
0.370  0.000 3634.126
0.380  0.000 3733.359
0.390  0.000 3832.672
0.400  0.000 3932.068
0.410  0.000 4031.549
0.420  0.000 4131.116
0.430  0.000 4230.771
0.440  0.000 4330.515
0.450  0.000 4430.349
0.460  0.000 4530.275
0.470  0.000 4630.292
